"Phylum"	"Size"	"GC"
"Proteobacteria"	4.70852	50.9
"Proteobacteria"	4.74239	50.9
"Proteobacteria"	4.66381	50.9
"Proteobacteria"	4.69607	50.9
"Proteobacteria"	4.66384	50.9
"Proteobacteria"	4.95526	50.9
"Proteobacteria"	4.78629	50.9
"Proteobacteria"	4.78725	50.9
"Proteobacteria"	4.92588	50.9
"Proteobacteria"	4.93253	50.9
"Proteobacteria"	5.01013	50.9
"Proteobacteria"	4.93016	50.9
"Proteobacteria"	4.89113	50.9
"Proteobacteria"	4.6885	50.9
"Proteobacteria"	4.80635	50.9
"Proteobacteria"	4.79553	50.9
"Proteobacteria"	4.65267	50.9
"Proteobacteria"	4.72908	50.9
"Proteobacteria"	4.64881	50.9
"Proteobacteria"	4.93591	50.9
"Proteobacteria"	4.89016	52.1
"Proteobacteria"	4.91816	52.1
"Proteobacteria"	4.90877	52.1
"Proteobacteria"	4.90802	52.1
"Proteobacteria"	4.97804	51.9
"Proteobacteria"	4.80335	46
"Proteobacteria"	4.80435	46
"Proteobacteria"	4.72978	61
"Proteobacteria"	4.72974	61
"Proteobacteria"	4.69077	61
"Proteobacteria"	4.69382	61
"Proteobacteria"	4.72907	61
"Proteobacteria"	4.69808	61
"Proteobacteria"	4.69409	61
"Proteobacteria"	4.69254	61
"Proteobacteria"	4.63307	61
"Proteobacteria"	4.69788	61
"Proteobacteria"	4.69023	61
"Proteobacteria"	4.69812	61
"Proteobacteria"	4.69159	61
"Proteobacteria"	4.69601	61
"Proteobacteria"	4.69588	61
"Proteobacteria"	4.6926	61
"Proteobacteria"	4.77762	61
"Proteobacteria"	4.69274	61
"Proteobacteria"	4.73265	61
"Proteobacteria"	4.69243	64.1
"Proteobacteria"	4.70243	64.1
"Proteobacteria"	4.74895	32.8
"Proteobacteria"	4.75095	32.8
"Proteobacteria"	4.75291	32.8
"Proteobacteria"	4.75397	32.8
"Proteobacteria"	5.01689	51.7
"Proteobacteria"	4.8562	52
"Proteobacteria"	4.89971	52.2
"Proteobacteria"	4.9991	52.1
"Proteobacteria"	4.89697	52.2
"Proteobacteria"	4.89056	52.2
"Proteobacteria"	4.90072	52.2
"Proteobacteria"	4.90339	52.2
"Proteobacteria"	4.89679	52.2
"Proteobacteria"	4.89737	52.2
"Proteobacteria"	4.89565	52.2
"Proteobacteria"	4.89597	52.1
"Proteobacteria"	4.81768	52.1
"Proteobacteria"	4.81215	1.59164
"Proteobacteria"	4.88905	52
"Proteobacteria"	4.81128	52
